old_key,new_key,year,first_author,title,doi
mcdaniell_heritable_2010,McDaniell2010ChromatinSignatures,2010,Ryan McDaniell,Heritable individual-specific and allele-specific chromatin signatures in humans,10.1126/science.1184655
georgiev_evidence-ranked_2010,Georgiev2010MotifIdentification,2010,Stoyan Georgiev,Evidence-ranked motif identification,10.1186/gb-2010-11-2-r19
babbitt_both_2010,Babbitt2010PrimateBrainRNAEvolution,2010,Courtney C Babbitt,Both noncoding and protein-coding RNAs contribute to gene expression evolution in the primate brain,10.1093/gbe/evq002
xu_dnasei_2009,Xu2009FSHDChromatin,2009,Xueqing Xu,"DNaseI hypersensitivity at gene-poor, FSH dystrophy-linked 4q35.2",10.1093/nar/gkp833
boyle_high-resolution_2009,Boyle2009ChromatinMapping,2009,Alan P Boyle,High-resolution mapping studies of chromatin and gene regulatory elements,10.2217/epi.09.29
boyle_f-seq:_2008,Boyle2008FSeq,2008,Alan P Boyle,F-Seq: a feature density estimator for high-throughput sequence tags.,10.1093/bioinformatics/btn480
boyle_high-resolution_2008,Boyle2008OpenChromatin,2008,Alan P Boyle,High-resolution mapping and characterization of open chromatin across the genome.,10.1016/j.cell.2007.12.014
boyle_recomb_2004,Boyle2004ArchaeaRegulatoryElements,2004,Alan P Boyle,Identification of Regulatory Elements in Archaea using Self-Organizing Maps,
boyle_globaln_2003,Boyle2003TranslationInitiation,2003,Alan P Boyle,Global analysis of microbial translation initiation regions,
boyle_clustering_2003,Boyle2003ArchaeaRegulatoryClustering,2003,Alan P Boyle,Clustering of archael gene regulatory regions,
boyle_visualization_2003,Boyle2003GenomicORFVisualization,2003,Alan P Boyle,Visualization of aligned genomic open reading frame data,10.1002/bmb.2003.494031010144
wan_interactive_2002,Wan2002InteractiveGenomicClustering,2002,Xiufeng Wan,Interactive clustering for exploration of genomic data,
